,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
0,FDA15,0.2825245608812147,2,0.04886645352965088,12,0.9275071477565213,49,0.5833333333333334,0.5,1,1,3735.138
1,DRC01,0.0812741887466508,1,0.058705077339707916,8,0.07206840114364103,18,1.0,0.5,3,2,443.4228
2,FDN15,0.7707651086632926,2,0.051036957937098795,7,0.4682884094289265,49,0.5833333333333334,0.5,1,1,2097.27
3,FDX07,0.8719857100327477,1,0.0,16,0.6400934811102282,10,0.5416666666666666,0.5,3,4,732.38
4,NCD19,0.26049419470080376,2,0.0,14,0.09580455554876435,13,0.08333333333333333,1.0,3,1,994.7052
5,FDP36,0.3477225364691872,1,0.0,10,0.08536051178615812,18,1.0,0.5,3,2,556.6088
6,FDO10,0.5415302173265852,1,0.03879853899017947,15,0.11192266161400077,13,0.08333333333333333,1.0,3,1,343.5528
7,FDP10,0.4943521991149732,2,0.38816495331655726,15,0.32458709397007796,27,0.0,0.5,3,3,4022.7636
8,FDH17,0.6933611193807679,1,0.05081478068025188,13,0.2787905181019905,45,0.7083333333333334,0.5,2,1,1076.5986
9,FDU28,0.8719857100327477,1,0.2876132566236265,13,0.6643992488913338,17,0.9166666666666666,0.5,2,1,4710.535
10,FDY07,0.43137838642453114,2,0.0,16,0.06048513062907048,49,0.5833333333333334,0.5,1,1,1516.0266
11,FDA03,0.8303066388806192,1,0.1384440505345476,12,0.4788665797390814,46,0.5,0.0,1,1,2187.153
12,FDX32,0.6278654361417088,1,0.30455620232260483,16,0.4846747685892604,49,0.5833333333333334,0.5,1,1,1589.2646
13,FDS46,0.7767192616850254,1,0.14390569620694904,15,0.37516468702673705,46,0.5,0.0,1,1,2145.2076
14,FDF32,0.7022923489133671,2,0.2071442602614004,16,0.7009920271105406,13,0.08333333333333333,1.0,3,1,1977.4260000000002
15,FDP49,0.2646621018160167,1,0.2103863136933969,2,0.1064158330447066,46,0.5,0.0,1,1,1547.3192
